FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,NATIONALITY,Nazionalità,KNOWLEDGE_1522,Modalità di conoscenza del 1522,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2018,574,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2019,405,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2020,377,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2021,1598,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2022,2701,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2023,20928,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NRP,Non risponde,2024,17854,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2015,10200,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2016,9078,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2017,10088,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2018,11942,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2019,9230,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2020,19785,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2021,22850,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2022,15232,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2023,7158,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,UNAV,Non disponibile,2024,5923,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2015,19706,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2016,17634,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2017,17616,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2018,23233,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2019,21290,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2020,31688,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2021,36036,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2022,32430,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2023,51713,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TOTAL,Totale,2024,65048,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2015,14,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2016,16,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2017,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2018,4,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2019,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2020,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2021,28,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2022,39,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2023,154,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,BROCHURE,Manifesti e locandine,2024,1131,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RADIO,Radio,2015,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RADIO,Radio,2017,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RADIO,Radio,2018,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RADIO,Radio,2019,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RADIO,Radio,2020,2,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RADIO,Radio,2023,5,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2015,451,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2016,334,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2017,190,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2018,304,
