FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,PURPOSE_CALL,Motivi della chiamata,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2021,74,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2022,34,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2023,83,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,EMERGENCY,Emergenza,2024,41,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2015,8082,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2016,8125,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2017,8085,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2018,9602,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2019,8647,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2020,15708,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2021,16272,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2022,11909,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2023,16283,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2024,17631,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2015,32,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2016,28,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2017,17,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2018,16,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2019,12,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2020,20,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2021,26,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2022,15,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2023,22,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2024,26,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2015,29,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2016,26,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2017,38,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2018,29,,
