FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,TYPE_VIOLENCE,Tipo_di_violenza,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2020,784,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2021,989,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2022,1004,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2023,344,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,UNAV,Non disponibile,2024,251,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2015,7770,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2016,7830,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2017,7799,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2018,9341,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2019,8427,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2020,15128,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2021,15720,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2022,11632,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2023,14455,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,ALL,Tutte le voci,2024,16117,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,PHY,Violenza fisica,2023,68,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,PHY,Violenza fisica,2024,42,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,SEXVIOL,Violenza sessuale,2023,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,SEXVIOL,Violenza sessuale,2024,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,THREATS,Minacce,2023,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,DIS_SEX_EXPL,Diffusione illecita di immagini o di video sessualmente espliciti,2024,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,PHYVIOL,Violenza psicologica,2023,14,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,PHYVIOL,Violenza psicologica,2024,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,STLK,Atti persecutori/ stalking,2023,8,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,STLK,Atti persecutori/ stalking,2024,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,OTH,Altro,2023,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NRP,Non risponde,2023,11,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,NRP,Non risponde,2024,6,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2021,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2022,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2023,1296,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2024,1017,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2021,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2022,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2023,1403,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,ALL,Tutte le voci,2024,1081,,
