FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y35-44,35-44 anni,2023,8,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y35-44,35-44 anni,2024,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y45-54,45-54 anni,2023,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y45-54,45-54 anni,2024,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y55-64,55-64 anni,2024,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y_GE65,65 anni e più,2023,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,Y_GE65,65 anni e più,2024,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,TOTAL,Totale,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,TOTAL,Totale,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,TOTAL,Totale,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,TOTAL,Totale,2021,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,TOTAL,Totale,2022,15,,
