FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,SEXUAL_ORIENTATION,Orientamento sessuale,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2020,51,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2021,52,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2022,51,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2023,91,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2024,99,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2015,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2018,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2020,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2021,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2015,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2016,3,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2017,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2018,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2020,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2021,2,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2022,4,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,MISSING,Missing,2023,655,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,MISSING,Missing,2024,702,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2015,448,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2016,405,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2017,368,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2018,494,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2019,419,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2020,473,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2021,528,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,OTHER,Altro o non indicato,2022,472,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2015,450,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2016,408,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2017,369,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2018,496,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2019,419,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2020,475,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2021,531,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2022,476,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2023,655,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,F,Femmine,TOTAL,Totale,2024,702,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,NRP,Non indicato,MISSING,Missing,2023,6,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,NRP,Non indicato,MISSING,Missing,2024,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,NRP,Non indicato,TOTAL,Totale,2023,6,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,NRP,Non indicato,TOTAL,Totale,2024,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2015,3,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2016,2,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2018,3,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2019,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2020,5,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2021,8,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,OMOX,Omosessuale,2022,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2015,1,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2016,3,,
A,Annuale,ITF1,Abruzzo,USERS,Utenti del 1522,T,Totale,TRANS,Transessuale,2017,1,,
