FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2019,3070,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2020,5568,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2021,6420,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2022,4771,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2023,6502,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SIN,Celibe/nubile,2024,7655,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2015,864,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2016,873,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2017,852,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2018,944,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2019,853,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2020,1245,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2021,1199,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2022,937,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2023,1248,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2024,1387,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2015,3764,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2016,3746,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2017,3523,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2018,4347,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2019,3570,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2020,6053,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2021,5531,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2022,3970,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2023,5049,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,MAR2,'Coniugato, unito civilmente, separato da matrimonio/unione civile',2024,5717,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,DIV2,Divorziato da matrimonio/unione civile,2015,313,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,DIV2,Divorziato da matrimonio/unione civile,2016,343,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,DIV2,Divorziato da matrimonio/unione civile,2017,408,,
