FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,Y_PRESENCE_DISABILITY,Presenza di disabilità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,2,Non indicato,2023,4245,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,2,Non indicato,2024,4562,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,9,Totale,2015,1,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,9,Totale,2019,2,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,9,Totale,2020,9,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,9,Totale,2021,11,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,9,Totale,2022,15,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,9,Totale,2023,4324,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,NRP,Non indicato,9,Totale,2024,4604,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2015,16720,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2016,15260,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2017,15570,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2018,22087,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2019,20224,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2020,23123,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2021,18498,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2022,16204,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2023,8119,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,0,No,2024,13954,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2015,459,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2016,512,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2017,457,,
