FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,COMP_REASWITHDRAWAL,Denucia_motivo_ritiro,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2019,6241,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2020,9261,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2021,10195,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2022,8238,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2023,10663,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NOREPORT,Non denuncia,2024,12681,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2015,48,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2016,41,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2017,47,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2018,36,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2019,29,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2020,125,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2021,226,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2022,208,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2023,1647,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NRP,Non risponde,2024,985,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2015,683,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2016,578,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2017,877,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2018,1037,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2019,785,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2020,4372,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2021,3284,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2022,1622,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2023,1650,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,UNAV,Non disponibile,2024,1451,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2015,8082,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2016,8125,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2017,8085,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2018,9602,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2019,8647,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2020,15708,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2021,16272,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2022,11909,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2023,16283,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,ALL,Tutte le voci,2024,17631,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2015,5,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2016,8,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2017,7,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2018,4,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2019,5,,
