territorio,tipologia_utenti,sesso,periodo,numero_vittime
trentino alto adige,utenti che chiamano per sè,femmine,2015,101
trentino alto adige,utenti che chiamano per sè,femmine,2016,97
trentino alto adige,utenti che chiamano per sè,femmine,2017,69
trentino alto adige,utenti che chiamano per sè,femmine,2018,157
trentino alto adige,utenti che chiamano per sè,femmine,2019,164
trentino alto adige,utenti che chiamano per sè,femmine,2020,198
trentino alto adige,utenti che chiamano per sè,femmine,2021,227
trentino alto adige,utenti che chiamano per sè,femmine,2022,202
trentino alto adige,utenti che chiamano per sè,femmine,2023,240
trentino alto adige,utenti che chiamano per sè,femmine,2024,285
trentino alto adige,utenti che chiamano per sè,non indicato,2023,1
trentino alto adige,utenti che chiamano per sè,non indicato,2024,2
trentino alto adige,da operatori,maschi,2015,1
trentino alto adige,da operatori,maschi,2016,1
trentino alto adige,da operatori,maschi,2017,2
trentino alto adige,da operatori,maschi,2018,1
trentino alto adige,da operatori,maschi,2019,2
trentino alto adige,da operatori,maschi,2021,1
trentino alto adige,da operatori,maschi,2022,4
trentino alto adige,da operatori,maschi,2023,17
trentino alto adige,da operatori,maschi,2024,12
trentino alto adige,da operatori,femmine,2016,4
trentino alto adige,da operatori,femmine,2017,2
trentino alto adige,da operatori,femmine,2019,2
trentino alto adige,da operatori,femmine,2021,3
trentino alto adige,da operatori,femmine,2022,3
trentino alto adige,da operatori,femmine,2023,20
