territorio,canale_segnalazione,sesso,orientamento_sessuale,periodo,numero_vittime
lombardia,Utenti del 1522,femmine,omosessuale,2019,2
lombardia,Utenti del 1522,femmine,omosessuale,2020,7
lombardia,Utenti del 1522,femmine,omosessuale,2021,5
lombardia,Utenti del 1522,femmine,omosessuale,2022,8
lombardia,Utenti del 1522,femmine,transessuale,2015,5
lombardia,Utenti del 1522,femmine,transessuale,2016,9
lombardia,Utenti del 1522,femmine,transessuale,2017,6
lombardia,Utenti del 1522,femmine,transessuale,2018,5
lombardia,Utenti del 1522,femmine,transessuale,2019,3
lombardia,Utenti del 1522,femmine,transessuale,2020,22
lombardia,Utenti del 1522,femmine,transessuale,2021,11
lombardia,Utenti del 1522,femmine,transessuale,2022,6
lombardia,Utenti del 1522,femmine,missing,2023,4852
lombardia,Utenti del 1522,femmine,missing,2024,6807
lombardia,Utenti del 1522,femmine,altro o non indicato,2015,2477
lombardia,Utenti del 1522,femmine,altro o non indicato,2016,2393
lombardia,Utenti del 1522,femmine,altro o non indicato,2017,2273
lombardia,Utenti del 1522,femmine,altro o non indicato,2018,2871
lombardia,Utenti del 1522,femmine,altro o non indicato,2019,2709
lombardia,Utenti del 1522,femmine,altro o non indicato,2020,3679
lombardia,Utenti del 1522,femmine,altro o non indicato,2021,3585
lombardia,Utenti del 1522,femmine,altro o non indicato,2022,3400
lombardia,Utenti del 1522,non indicato,missing,2023,31
lombardia,Utenti del 1522,non indicato,missing,2024,27
nord est,Utenti del 1522,maschi,omosessuale,2015,1
nord est,Utenti del 1522,maschi,omosessuale,2016,5
nord est,Utenti del 1522,maschi,omosessuale,2017,9
nord est,Utenti del 1522,maschi,omosessuale,2018,3
nord est,Utenti del 1522,maschi,omosessuale,2019,2
nord est,Utenti del 1522,maschi,omosessuale,2020,13
nord est,Utenti del 1522,maschi,omosessuale,2021,8
nord est,Utenti del 1522,maschi,omosessuale,2022,7
nord est,Utenti del 1522,maschi,transessuale,2016,1
nord est,Utenti del 1522,maschi,transessuale,2017,4
nord est,Utenti del 1522,maschi,transessuale,2018,1
nord est,Utenti del 1522,maschi,transessuale,2019,1
nord est,Utenti del 1522,maschi,transessuale,2020,4
nord est,Utenti del 1522,maschi,transessuale,2021,4
nord est,Utenti del 1522,maschi,transessuale,2022,1
nord est,Utenti del 1522,maschi,missing,2023,682
nord est,Utenti del 1522,maschi,missing,2024,860
nord est,Utenti del 1522,maschi,altro o non indicato,2015,267
nord est,Utenti del 1522,maschi,altro o non indicato,2016,201
nord est,Utenti del 1522,maschi,altro o non indicato,2017,206
nord est,Utenti del 1522,maschi,altro o non indicato,2018,294
nord est,Utenti del 1522,maschi,altro o non indicato,2019,306
nord est,Utenti del 1522,maschi,altro o non indicato,2020,389
nord est,Utenti del 1522,maschi,altro o non indicato,2021,429
nord est,Utenti del 1522,maschi,altro o non indicato,2022,362
nord est,Utenti del 1522,femmine,omosessuale,2015,3
nord est,Utenti del 1522,femmine,omosessuale,2016,2
nord est,Utenti del 1522,femmine,omosessuale,2017,4
nord est,Utenti del 1522,femmine,omosessuale,2018,5
nord est,Utenti del 1522,femmine,omosessuale,2020,15
nord est,Utenti del 1522,femmine,omosessuale,2021,16
nord est,Utenti del 1522,femmine,omosessuale,2022,9
nord est,Utenti del 1522,femmine,transessuale,2015,6
nord est,Utenti del 1522,femmine,transessuale,2016,4
nord est,Utenti del 1522,femmine,transessuale,2017,7
nord est,Utenti del 1522,femmine,transessuale,2018,5
nord est,Utenti del 1522,femmine,transessuale,2019,1
nord est,Utenti del 1522,femmine,transessuale,2020,27
nord est,Utenti del 1522,femmine,transessuale,2021,20
nord est,Utenti del 1522,femmine,transessuale,2022,9
nord est,Utenti del 1522,femmine,missing,2023,5930
nord est,Utenti del 1522,femmine,missing,2024,7612
nord est,Utenti del 1522,femmine,altro o non indicato,2015,2296
nord est,Utenti del 1522,femmine,altro o non indicato,2016,1992
nord est,Utenti del 1522,femmine,altro o non indicato,2017,1846
nord est,Utenti del 1522,femmine,altro o non indicato,2018,2649
nord est,Utenti del 1522,femmine,altro o non indicato,2019,2775
nord est,Utenti del 1522,femmine,altro o non indicato,2020,3573
nord est,Utenti del 1522,femmine,altro o non indicato,2021,3934
nord est,Utenti del 1522,femmine,altro o non indicato,2022,3663
nord est,Utenti del 1522,non indicato,missing,2023,26
