territorio,sesso,stato_denuncia,periodo,numero_vittime
liguria,maschi,non denuncia,2022,3
liguria,maschi,non denuncia,2023,7
liguria,maschi,non denuncia,2024,4
liguria,maschi,non risponde,2023,1
liguria,maschi,non risponde,2024,2
liguria,maschi,non disponibile,2015,1
liguria,maschi,non disponibile,2019,1
liguria,maschi,non disponibile,2020,8
liguria,maschi,non disponibile,2021,2
liguria,femmine,denuncia,2015,32
liguria,femmine,denuncia,2016,32
liguria,femmine,denuncia,2017,19
liguria,femmine,denuncia,2018,42
liguria,femmine,denuncia,2019,22
liguria,femmine,denuncia,2020,28
liguria,femmine,denuncia,2021,39
liguria,femmine,denuncia,2022,27
liguria,femmine,denuncia,2023,24
liguria,femmine,denuncia,2024,47
liguria,femmine,ritira la denuncia,2015,3
liguria,femmine,ritira la denuncia,2016,5
liguria,femmine,ritira la denuncia,2017,6
liguria,femmine,ritira la denuncia,2018,8
liguria,femmine,ritira la denuncia,2019,3
liguria,femmine,ritira la denuncia,2020,6
liguria,femmine,ritira la denuncia,2021,8
liguria,femmine,ritira la denuncia,2022,5
liguria,femmine,ritira la denuncia,2023,6
liguria,femmine,ritira la denuncia,2024,9
liguria,femmine,non denuncia,2015,157
liguria,femmine,non denuncia,2016,157
liguria,femmine,non denuncia,2017,146
liguria,femmine,non denuncia,2018,160
liguria,femmine,non denuncia,2019,151
liguria,femmine,non denuncia,2020,217
liguria,femmine,non denuncia,2021,209
liguria,femmine,non denuncia,2022,181
liguria,femmine,non denuncia,2023,212
liguria,femmine,non denuncia,2024,277
liguria,femmine,non risponde,2016,2
liguria,femmine,non risponde,2017,1
liguria,femmine,non risponde,2019,1
liguria,femmine,non risponde,2020,2
liguria,femmine,non risponde,2021,2
liguria,femmine,non risponde,2022,3
liguria,femmine,non risponde,2023,16
liguria,femmine,non risponde,2024,19
liguria,femmine,non disponibile,2015,13
liguria,femmine,non disponibile,2016,13
liguria,femmine,non disponibile,2017,11
liguria,femmine,non disponibile,2018,18
liguria,femmine,non disponibile,2019,7
liguria,femmine,non disponibile,2020,54
liguria,femmine,non disponibile,2021,52
liguria,femmine,non disponibile,2022,15
liguria,femmine,non disponibile,2023,5
liguria,femmine,non disponibile,2024,8
liguria,non indicato,non denuncia,2023,2
liguria,non indicato,non disponibile,2023,4
liguria,non indicato,non disponibile,2024,3
lombardia,maschi,denuncia,2015,4
lombardia,maschi,denuncia,2016,4
lombardia,maschi,denuncia,2017,4
lombardia,maschi,denuncia,2018,4
lombardia,maschi,denuncia,2019,2
lombardia,maschi,denuncia,2020,6
lombardia,maschi,denuncia,2021,8
lombardia,maschi,denuncia,2022,2
lombardia,maschi,denuncia,2023,6
lombardia,maschi,denuncia,2024,8
