sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
femmine,media_inferiore,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,4.7
femmine,media_inferiore,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,87.0
femmine,media_inferiore,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,5.9
femmine,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,1.3
femmine,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,6.2
femmine,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,11.1
femmine,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,69.3
femmine,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,12.1
femmine,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,4.1
femmine,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,13.6
femmine,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,12.1
femmine,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,62.4
femmine,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,7.7
femmine,media_inferiore,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.2
femmine,media_inferiore,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,9.1
femmine,media_inferiore,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,27.2
femmine,media_inferiore,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,51.0
femmine,media_inferiore,Spesso le accuse di violenza sessuale sono false,non_risponde,11.6
femmine,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,5.5
femmine,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,14.5
femmine,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,20.1
femmine,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,57.0
femmine,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,2.9
femmine,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,11.4
