sesso,età,imput_affermazione,grado_accordo,percentuale
femmine,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,70.3
femmine,45-59,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,6.0
femmine,45-59,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.0
femmine,45-59,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,6.8
femmine,45-59,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,28.5
femmine,45-59,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,54.4
femmine,45-59,Spesso le accuse di violenza sessuale sono false,non_risponde,9.3
femmine,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,7.9
femmine,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,24.9
femmine,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,22.4
femmine,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,36.5
femmine,60-74,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,8.3
femmine,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,11.3
femmine,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,26.7
femmine,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,23.8
femmine,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,24.4
femmine,60-74,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,13.8
femmine,60-74,Le donne serie non vengono violentate,molto_d_accordo,3.7
femmine,60-74,Le donne serie non vengono violentate,abbastanza_d_accordo,5.4
