territorio,sesso,imput_affermazione,grado_accordo,percentuale
piemonte,femmine,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,27.2
piemonte,femmine,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,53.2
piemonte,femmine,Spesso le accuse di violenza sessuale sono false,non_risponde,9.3
valle d'aosta,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,3.7
valle d'aosta,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,18.0
valle d'aosta,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,17.9
valle d'aosta,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,51.7
valle d'aosta,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,8.8
valle d'aosta,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,12.5
valle d'aosta,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,30.6
valle d'aosta,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,22.1
valle d'aosta,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,22.5
valle d'aosta,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,12.3
valle d'aosta,maschi,Le donne serie non vengono violentate,molto_d_accordo,1.5
valle d'aosta,maschi,Le donne serie non vengono violentate,abbastanza_d_accordo,2.2
valle d'aosta,maschi,Le donne serie non vengono violentate,poco_d_accordo,3.9
valle d'aosta,maschi,Le donne serie non vengono violentate,per_niente_d_accordo,82.0
valle d'aosta,maschi,Le donne serie non vengono violentate,non_risponde,10.4
valle d'aosta,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.2
valle d'aosta,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,0.0
valle d'aosta,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,2.8
valle d'aosta,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,89.3
valle d'aosta,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,7.7
valle d'aosta,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,1.6
valle d'aosta,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,8.0
valle d'aosta,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,10.8
valle d'aosta,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,62.0
valle d'aosta,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,17.7
valle d'aosta,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,2.1
valle d'aosta,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,9.0
valle d'aosta,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,11.6
valle d'aosta,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,69.2
valle d'aosta,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,8.1
valle d'aosta,maschi,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.0
valle d'aosta,maschi,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,13.2
valle d'aosta,maschi,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,26.1
valle d'aosta,maschi,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,43.9
valle d'aosta,maschi,Spesso le accuse di violenza sessuale sono false,non_risponde,15.8
valle d'aosta,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,7.2
