territorio,indicatore,sesso,presenza_disabilità,periodo,numero_vittime
trentino alto adige,Utenti del 1522,femmine,non indicato,2021,70
trentino alto adige,Utenti del 1522,femmine,non indicato,2022,78
trentino alto adige,Utenti del 1522,femmine,non indicato,2023,174
trentino alto adige,Utenti del 1522,femmine,non indicato,2024,248
trentino alto adige,Utenti del 1522,non indicato,non indicato,2023,2
trentino alto adige,Utenti del 1522,non indicato,non indicato,2024,3
veneto,Utenti del 1522,maschi,no,2015,97
veneto,Utenti del 1522,maschi,no,2016,76
veneto,Utenti del 1522,maschi,no,2017,78
veneto,Utenti del 1522,maschi,no,2018,142
veneto,Utenti del 1522,maschi,no,2019,140
veneto,Utenti del 1522,maschi,no,2020,148
veneto,Utenti del 1522,maschi,no,2021,118
veneto,Utenti del 1522,maschi,no,2022,90
veneto,Utenti del 1522,maschi,no,2023,33
veneto,Utenti del 1522,maschi,no,2024,42
veneto,Utenti del 1522,maschi,si,2015,6
veneto,Utenti del 1522,maschi,si,2016,4
veneto,Utenti del 1522,maschi,si,2017,6
veneto,Utenti del 1522,maschi,si,2018,2
veneto,Utenti del 1522,maschi,si,2019,5
veneto,Utenti del 1522,maschi,si,2020,6
veneto,Utenti del 1522,maschi,si,2021,16
veneto,Utenti del 1522,maschi,si,2022,2
veneto,Utenti del 1522,maschi,si,2023,25
veneto,Utenti del 1522,maschi,si,2024,7
veneto,Utenti del 1522,maschi,non indicato,2015,16
veneto,Utenti del 1522,maschi,non indicato,2016,12
veneto,Utenti del 1522,maschi,non indicato,2017,9
veneto,Utenti del 1522,maschi,non indicato,2018,5
veneto,Utenti del 1522,maschi,non indicato,2019,7
veneto,Utenti del 1522,maschi,non indicato,2020,38
veneto,Utenti del 1522,maschi,non indicato,2021,79
veneto,Utenti del 1522,maschi,non indicato,2022,87
veneto,Utenti del 1522,maschi,non indicato,2023,245
veneto,Utenti del 1522,maschi,non indicato,2024,333
veneto,Utenti del 1522,femmine,no,2015,953
veneto,Utenti del 1522,femmine,no,2016,762
veneto,Utenti del 1522,femmine,no,2017,826
veneto,Utenti del 1522,femmine,no,2018,1157
veneto,Utenti del 1522,femmine,no,2019,1274
veneto,Utenti del 1522,femmine,no,2020,1284
veneto,Utenti del 1522,femmine,no,2021,1130
veneto,Utenti del 1522,femmine,no,2022,1030
