sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
femmine,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,19.2
femmine,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,62.3
femmine,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,0.4
femmine,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,0.9
femmine,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,2.7
femmine,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,9.3
femmine,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,86.9
femmine,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,0.3
femmine,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,9.0
femmine,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,19.2
femmine,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,18.9
femmine,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,52.5
femmine,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,0.4
femmine,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,8.7
femmine,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,22.3
femmine,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,16.0
femmine,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,52.1
femmine,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,0.8
femmine,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,1.3
femmine,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,5.6
femmine,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,8.3
femmine,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,84.6
femmine,laurea,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,0.2
femmine,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,1.3
femmine,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,7.3
femmine,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,18.6
femmine,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,72.4
femmine,laurea,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,0.3
femmine,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,0.1
femmine,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,1.0
femmine,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,7.0
femmine,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,91.7
femmine,laurea,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,0.2
femmine,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,3.7
femmine,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,12.2
femmine,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,25.8
femmine,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,57.8
femmine,laurea,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,0.4
femmine,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,6.1
femmine,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,25.0
femmine,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,17.9
femmine,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,50.2
femmine,laurea,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,0.8
