territorio,sesso,motivo_chiamata,periodo,numero_vittime
lombardia,non indicato,emergenza,2024,9
nord est,maschi,richiesta di aiuto vittima di stalking,2015,17
nord est,maschi,richiesta di aiuto vittima di stalking,2016,13
nord est,maschi,richiesta di aiuto vittima di stalking,2017,14
nord est,maschi,richiesta di aiuto vittima di stalking,2018,8
nord est,maschi,richiesta di aiuto vittima di stalking,2019,10
nord est,maschi,richiesta di aiuto vittima di stalking,2020,25
nord est,maschi,richiesta di aiuto vittima di stalking,2021,25
nord est,maschi,richiesta di aiuto vittima di stalking,2022,9
nord est,maschi,richiesta di aiuto vittima di stalking,2023,17
nord est,maschi,richiesta di aiuto vittima di stalking,2024,15
nord est,maschi,richiesta di aiuto vittima di violenza,2015,24
nord est,maschi,richiesta di aiuto vittima di violenza,2016,18
nord est,maschi,richiesta di aiuto vittima di violenza,2017,14
nord est,maschi,richiesta di aiuto vittima di violenza,2018,20
nord est,maschi,richiesta di aiuto vittima di violenza,2019,17
nord est,maschi,richiesta di aiuto vittima di violenza,2020,43
nord est,maschi,richiesta di aiuto vittima di violenza,2021,28
nord est,maschi,richiesta di aiuto vittima di violenza,2022,14
nord est,maschi,richiesta di aiuto vittima di violenza,2023,39
nord est,maschi,richiesta di aiuto vittima di violenza,2024,26
nord est,maschi,richiesta di aiuto per discriminazione,2020,2
nord est,maschi,richiesta di aiuto per discriminazione,2021,1
nord est,maschi,segnalazione di un caso di violenza,2015,7
nord est,maschi,segnalazione di un caso di violenza,2016,7
nord est,maschi,segnalazione di un caso di violenza,2017,7
nord est,maschi,segnalazione di un caso di violenza,2018,2
nord est,maschi,segnalazione di un caso di violenza,2019,4
nord est,maschi,segnalazione di un caso di violenza,2020,8
nord est,maschi,segnalazione di un caso di violenza,2021,7
nord est,maschi,segnalazione di un caso di violenza,2022,5
nord est,maschi,segnalazione di un caso di violenza,2023,4
nord est,maschi,segnalazione di un caso di violenza,2024,9
nord est,maschi,emergenza,2015,1
nord est,maschi,emergenza,2016,1
nord est,maschi,emergenza,2017,1
nord est,maschi,emergenza,2018,1
nord est,maschi,emergenza,2019,1
nord est,maschi,emergenza,2022,1
nord est,femmine,richiesta di aiuto vittima di stalking,2015,93
nord est,femmine,richiesta di aiuto vittima di stalking,2016,111
nord est,femmine,richiesta di aiuto vittima di stalking,2017,102
nord est,femmine,richiesta di aiuto vittima di stalking,2018,107
nord est,femmine,richiesta di aiuto vittima di stalking,2019,122
nord est,femmine,richiesta di aiuto vittima di stalking,2020,154
nord est,femmine,richiesta di aiuto vittima di stalking,2021,218
nord est,femmine,richiesta di aiuto vittima di stalking,2022,157
nord est,femmine,richiesta di aiuto vittima di stalking,2023,222
nord est,femmine,richiesta di aiuto vittima di stalking,2024,386
nord est,femmine,richiesta di aiuto vittima di violenza,2015,687
nord est,femmine,richiesta di aiuto vittima di violenza,2016,692
nord est,femmine,richiesta di aiuto vittima di violenza,2017,678
nord est,femmine,richiesta di aiuto vittima di violenza,2018,943
nord est,femmine,richiesta di aiuto vittima di violenza,2019,912
nord est,femmine,richiesta di aiuto vittima di violenza,2020,1529
nord est,femmine,richiesta di aiuto vittima di violenza,2021,1650
nord est,femmine,richiesta di aiuto vittima di violenza,2022,1350
nord est,femmine,richiesta di aiuto vittima di violenza,2023,1634
nord est,femmine,richiesta di aiuto vittima di violenza,2024,2325
nord est,femmine,richiesta di aiuto per discriminazione,2020,1
nord est,femmine,richiesta di aiuto per discriminazione,2021,2
nord est,femmine,segnalazione di un caso di violenza,2015,228
nord est,femmine,segnalazione di un caso di violenza,2016,193
nord est,femmine,segnalazione di un caso di violenza,2017,184
nord est,femmine,segnalazione di un caso di violenza,2018,179
nord est,femmine,segnalazione di un caso di violenza,2019,140
nord est,femmine,segnalazione di un caso di violenza,2020,308
nord est,femmine,segnalazione di un caso di violenza,2021,400
nord est,femmine,segnalazione di un caso di violenza,2022,195
nord est,femmine,segnalazione di un caso di violenza,2023,319
nord est,femmine,segnalazione di un caso di violenza,2024,301
nord est,femmine,emergenza,2015,18
nord est,femmine,emergenza,2016,13
nord est,femmine,emergenza,2017,11
