territorio,sesso,motivo_chiamata,periodo,numero_vittime
nord est,femmine,emergenza,2018,26
nord est,femmine,emergenza,2019,22
nord est,femmine,emergenza,2020,13
nord est,femmine,emergenza,2021,8
nord est,non indicato,richiesta di aiuto vittima di stalking,2023,5
nord est,non indicato,richiesta di aiuto vittima di stalking,2024,2
nord est,non indicato,richiesta di aiuto vittima di violenza,2023,14
nord est,non indicato,richiesta di aiuto vittima di violenza,2024,40
nord est,non indicato,segnalazione di un caso di violenza,2023,4
nord est,non indicato,segnalazione di un caso di violenza,2024,3
nord est,non indicato,emergenza,2023,13
nord est,non indicato,emergenza,2024,7
trentino alto adige,maschi,richiesta di aiuto vittima di stalking,2020,1
trentino alto adige,maschi,richiesta di aiuto vittima di stalking,2023,2
trentino alto adige,maschi,richiesta di aiuto vittima di stalking,2024,1
trentino alto adige,maschi,richiesta di aiuto vittima di violenza,2023,2
