territorio,sesso,stato_civile,periodo,numero_vittime
valle d'aosta,femmine,single,2021,4
valle d'aosta,femmine,single,2022,9
valle d'aosta,femmine,single,2023,2
valle d'aosta,femmine,single,2024,8
valle d'aosta,femmine,separat,2015,1
valle d'aosta,femmine,separat,2017,1
valle d'aosta,femmine,separat,2019,1
valle d'aosta,femmine,separat,2022,1
valle d'aosta,femmine,coniugat,2015,7
valle d'aosta,femmine,coniugat,2016,5
valle d'aosta,femmine,coniugat,2017,3
valle d'aosta,femmine,coniugat,2018,6
valle d'aosta,femmine,coniugat,2019,5
valle d'aosta,femmine,coniugat,2020,10
valle d'aosta,femmine,coniugat,2021,1
valle d'aosta,femmine,coniugat,2022,3
valle d'aosta,femmine,coniugat,2023,1
valle d'aosta,femmine,coniugat,2024,9
valle d'aosta,femmine,divorziat,2019,2
valle d'aosta,femmine,divorziat,2024,3
valle d'aosta,femmine,vedov,2015,1
valle d'aosta,femmine,vedov,2021,1
valle d'aosta,femmine,vedov,2022,1
valle d'aosta,femmine,vedov,2023,1
valle d'aosta,femmine,non indicato,2020,1
valle d'aosta,femmine,non indicato,2023,2
valle d'aosta,femmine,non indicato,2024,2
valle d'aosta,femmine,non disponibile,2017,1
valle d'aosta,femmine,non disponibile,2020,1
valle d'aosta,non indicato,non disponibile,2023,1
liguria,maschi,single,2015,5
liguria,maschi,single,2016,4
liguria,maschi,single,2017,1
liguria,maschi,single,2018,2
liguria,maschi,single,2019,1
liguria,maschi,single,2020,6
liguria,maschi,single,2021,6
liguria,maschi,single,2022,4
liguria,maschi,single,2023,6
liguria,maschi,single,2024,3
liguria,maschi,separat,2015,1
liguria,maschi,separat,2017,1
liguria,maschi,separat,2020,1
liguria,maschi,coniugat,2015,1
liguria,maschi,coniugat,2016,2
liguria,maschi,coniugat,2017,2
liguria,maschi,coniugat,2018,4
liguria,maschi,coniugat,2019,2
liguria,maschi,coniugat,2020,3
liguria,maschi,coniugat,2021,2
liguria,maschi,coniugat,2023,2
liguria,maschi,coniugat,2024,2
liguria,maschi,divorziat,2017,1
liguria,maschi,divorziat,2021,1
liguria,maschi,divorziat,2024,1
liguria,maschi,vedov,2019,1
liguria,maschi,vedov,2020,1
liguria,maschi,vedov,2024,1
liguria,maschi,non indicato,2020,4
liguria,maschi,non disponibile,2019,1
liguria,femmine,single,2015,65
liguria,femmine,single,2016,82
liguria,femmine,single,2017,67
liguria,femmine,single,2018,72
liguria,femmine,single,2019,76
liguria,femmine,single,2020,112
liguria,femmine,single,2021,128
liguria,femmine,single,2022,104
liguria,femmine,single,2023,122
liguria,femmine,single,2024,168
liguria,femmine,separat,2015,21
liguria,femmine,separat,2016,24
liguria,femmine,separat,2017,20
liguria,femmine,separat,2018,23
liguria,femmine,separat,2019,23
liguria,femmine,separat,2020,21
liguria,femmine,separat,2021,37
liguria,femmine,separat,2022,24
liguria,femmine,separat,2023,16
liguria,femmine,separat,2024,34
liguria,femmine,coniugat,2015,93
liguria,femmine,coniugat,2016,76
liguria,femmine,coniugat,2017,80
liguria,femmine,coniugat,2018,98
liguria,femmine,coniugat,2019,61
liguria,femmine,coniugat,2020,123
liguria,femmine,coniugat,2021,108
liguria,femmine,coniugat,2022,74
liguria,femmine,coniugat,2023,77
liguria,femmine,coniugat,2024,127
liguria,femmine,divorziat,2015,11
liguria,femmine,divorziat,2016,8
liguria,femmine,divorziat,2017,8
liguria,femmine,divorziat,2018,15
liguria,femmine,divorziat,2019,14
liguria,femmine,divorziat,2020,14
liguria,femmine,divorziat,2021,4
liguria,femmine,divorziat,2022,11
liguria,femmine,divorziat,2023,23
liguria,femmine,divorziat,2024,9
liguria,femmine,vedov,2015,6
liguria,femmine,vedov,2016,12
liguria,femmine,vedov,2017,6
liguria,femmine,vedov,2018,15
liguria,femmine,vedov,2019,7
liguria,femmine,vedov,2020,19
liguria,femmine,vedov,2021,4
liguria,femmine,vedov,2022,6
liguria,femmine,vedov,2023,6
liguria,femmine,vedov,2024,9
liguria,femmine,non indicato,2015,2
liguria,femmine,non indicato,2016,2
liguria,femmine,non indicato,2017,1
liguria,femmine,non indicato,2018,2
liguria,femmine,non indicato,2020,16
liguria,femmine,non indicato,2021,23
liguria,femmine,non indicato,2022,10
liguria,femmine,non indicato,2023,19
liguria,femmine,non indicato,2024,13
liguria,femmine,non disponibile,2015,7
liguria,femmine,non disponibile,2016,5
liguria,femmine,non disponibile,2017,1
liguria,femmine,non disponibile,2018,3
liguria,femmine,non disponibile,2019,3
liguria,femmine,non disponibile,2020,2
liguria,femmine,non disponibile,2021,6
liguria,femmine,non disponibile,2022,2
liguria,non indicato,divorziat,2023,2
liguria,non indicato,non disponibile,2023,4
liguria,non indicato,non disponibile,2024,3
lombardia,maschi,single,2015,15
lombardia,maschi,single,2016,19
lombardia,maschi,single,2017,15
lombardia,maschi,single,2018,21
lombardia,maschi,single,2019,18
lombardia,maschi,single,2020,25
lombardia,maschi,single,2021,32
lombardia,maschi,single,2022,17
lombardia,maschi,single,2023,39
lombardia,maschi,single,2024,32
lombardia,maschi,separat,2015,9
lombardia,maschi,separat,2016,1
lombardia,maschi,separat,2017,5
lombardia,maschi,separat,2018,1
lombardia,maschi,separat,2020,6
lombardia,maschi,separat,2021,2
lombardia,maschi,separat,2023,5
lombardia,maschi,separat,2024,4
lombardia,maschi,coniugat,2015,12
lombardia,maschi,coniugat,2016,18
lombardia,maschi,coniugat,2017,10
lombardia,maschi,coniugat,2018,12
lombardia,maschi,coniugat,2019,14
lombardia,maschi,coniugat,2020,22
lombardia,maschi,coniugat,2021,12
lombardia,maschi,coniugat,2022,11
lombardia,maschi,coniugat,2023,16
lombardia,maschi,coniugat,2024,12
lombardia,maschi,divorziat,2015,1
lombardia,maschi,divorziat,2017,3
lombardia,maschi,divorziat,2018,3
lombardia,maschi,divorziat,2019,2
lombardia,maschi,divorziat,2020,2
lombardia,maschi,divorziat,2021,2
lombardia,maschi,divorziat,2022,1
lombardia,maschi,divorziat,2023,1
lombardia,maschi,divorziat,2024,3
lombardia,maschi,vedov,2015,2
lombardia,maschi,vedov,2018,2
lombardia,maschi,vedov,2021,2
lombardia,maschi,vedov,2023,1
lombardia,maschi,vedov,2024,1
lombardia,maschi,non indicato,2015,1
lombardia,maschi,non indicato,2016,1
lombardia,maschi,non indicato,2017,2
lombardia,maschi,non indicato,2020,4
lombardia,maschi,non indicato,2021,6
lombardia,maschi,non indicato,2022,2
lombardia,maschi,non indicato,2023,7
lombardia,maschi,non indicato,2024,3
lombardia,maschi,non disponibile,2015,1
lombardia,maschi,non disponibile,2017,2
lombardia,maschi,non disponibile,2018,2
lombardia,maschi,non disponibile,2019,2
lombardia,maschi,non disponibile,2020,2
lombardia,maschi,non disponibile,2021,2
lombardia,maschi,non disponibile,2022,2
lombardia,femmine,single,2015,378
lombardia,femmine,single,2016,432
lombardia,femmine,single,2017,419
lombardia,femmine,single,2018,504
lombardia,femmine,single,2019,521
lombardia,femmine,single,2020,902
lombardia,femmine,single,2021,945
lombardia,femmine,single,2022,826
lombardia,femmine,single,2023,999
lombardia,femmine,single,2024,1419
lombardia,femmine,separat,2015,138
lombardia,femmine,separat,2016,132
lombardia,femmine,separat,2017,121
lombardia,femmine,separat,2018,121
lombardia,femmine,separat,2019,141
lombardia,femmine,separat,2020,191
lombardia,femmine,separat,2021,161
lombardia,femmine,separat,2022,139
lombardia,femmine,separat,2023,202
lombardia,femmine,separat,2024,230
lombardia,femmine,coniugat,2015,544
lombardia,femmine,coniugat,2016,608
lombardia,femmine,coniugat,2017,562
lombardia,femmine,coniugat,2018,585
lombardia,femmine,coniugat,2019,505
lombardia,femmine,coniugat,2020,886
