territorio,sesso,nazionalità_utente,modalità_intervento,periodo,numero_vittime
italia,femmine,italia,richiesto intervento del 112,2015,105
italia,femmine,italia,richiesto intervento del 112,2016,95
italia,femmine,italia,richiesto intervento del 112,2017,110
italia,femmine,italia,richiesto intervento del 112,2018,134
italia,femmine,italia,richiesto intervento del 112,2019,121
italia,femmine,italia,richiesto intervento del 112,2020,98
italia,femmine,italia,richiesto intervento del 112,2021,24
italia,femmine,italia,richiesto intervento del 112,2022,7
italia,femmine,italia,richiesto intervento del 112,2023,1594
italia,femmine,italia,richiesto intervento del 112,2024,2904
italia,femmine,italia,richiesto intervento del 113,2015,99
italia,femmine,italia,richiesto intervento del 113,2016,85
italia,femmine,italia,richiesto intervento del 113,2017,99
italia,femmine,italia,richiesto intervento del 113,2018,112
italia,femmine,italia,richiesto intervento del 113,2019,81
italia,femmine,italia,richiesto intervento del 113,2020,53
italia,femmine,italia,richiesto intervento del 113,2021,12
italia,femmine,italia,richiesto intervento del 113,2023,1782
italia,femmine,italia,richiesto intervento del 113,2024,3260
italia,femmine,non indicato,trasferito servizio,2019,1
italia,femmine,non indicato,trasferito servizio,2020,1
italia,femmine,non indicato,non trasferito servizio,2022,3
italia,femmine,non indicato,chiamate valide,2019,1
italia,femmine,non indicato,chiamate valide,2020,1
italia,femmine,non indicato,chiamate valide,2022,3
italia,femmine,non indicato,richiesto intervento del 118,2022,1
italia,femmine,non indicato,richiesto intervento del 112,2019,1
italia,femmine,non indicato,richiesto intervento del 112,2020,1
italia,femmine,non indicato,richiesto intervento del 112,2022,3
italia,femmine,non indicato,richiesto intervento del 113,2019,1
italia,femmine,non indicato,richiesto intervento del 113,2020,1
italia,non indicato,estero,trasferito servizio,2015,1
italia,non indicato,estero,trasferito servizio,2019,1
italia,non indicato,estero,trasferito servizio,2020,2
italia,non indicato,estero,trasferito servizio,2021,8
italia,non indicato,estero,trasferito servizio,2022,5
italia,non indicato,estero,trasferito servizio,2023,146
italia,non indicato,estero,trasferito servizio,2024,152
italia,non indicato,estero,non trasferito servizio,2019,1
italia,non indicato,estero,non trasferito servizio,2020,7
italia,non indicato,estero,non trasferito servizio,2021,3
italia,non indicato,estero,non trasferito servizio,2022,10
italia,non indicato,estero,non trasferito servizio,2023,4178
italia,non indicato,estero,non trasferito servizio,2024,4452
italia,non indicato,estero,chiamate valide,2015,1
italia,non indicato,estero,chiamate valide,2019,2
italia,non indicato,estero,chiamate valide,2020,9
italia,non indicato,estero,chiamate valide,2021,11
italia,non indicato,estero,chiamate valide,2022,15
italia,non indicato,estero,chiamate valide,2023,4324
italia,non indicato,estero,chiamate valide,2024,4604
italia,non indicato,estero,richiesto intervento del 118,2021,1
italia,non indicato,estero,richiesto intervento del 118,2022,2
italia,non indicato,estero,richiesto intervento del 118,2023,5
italia,non indicato,estero,richiesto intervento del 118,2024,2
italia,non indicato,estero,richiesto intervento del 112,2015,1
italia,non indicato,estero,richiesto intervento del 112,2019,2
italia,non indicato,estero,richiesto intervento del 112,2020,9
italia,non indicato,estero,richiesto intervento del 112,2021,10
italia,non indicato,estero,richiesto intervento del 112,2022,14
italia,non indicato,estero,richiesto intervento del 112,2023,51
italia,non indicato,estero,richiesto intervento del 112,2024,79
italia,non indicato,estero,richiesto intervento del 113,2015,1
italia,non indicato,estero,richiesto intervento del 113,2019,1
italia,non indicato,estero,richiesto intervento del 113,2020,2
italia,non indicato,estero,richiesto intervento del 113,2021,7
italia,non indicato,estero,richiesto intervento del 113,2022,1
italia,non indicato,estero,richiesto intervento del 113,2023,55
italia,non indicato,estero,richiesto intervento del 113,2024,82
italia,non indicato,estero,trasferito servizio,2023,3
italia,non indicato,estero,trasferito servizio,2024,6
italia,non indicato,estero,non trasferito servizio,2023,15
italia,non indicato,estero,non trasferito servizio,2024,13
italia,non indicato,estero,chiamate valide,2023,18
italia,non indicato,estero,chiamate valide,2024,19
italia,non indicato,estero,richiesto intervento del 112,2024,3
italia,non indicato,estero,richiesto intervento del 113,2024,4
italia,non indicato,italia,trasferito servizio,2023,142
italia,non indicato,italia,trasferito servizio,2024,146
italia,non indicato,italia,non trasferito servizio,2023,1600
italia,non indicato,italia,non trasferito servizio,2024,1428
italia,non indicato,italia,chiamate valide,2023,1742
italia,non indicato,italia,chiamate valide,2024,1574
italia,non indicato,italia,richiesto intervento del 118,2023,5
italia,non indicato,italia,richiesto intervento del 118,2024,2
italia,non indicato,italia,richiesto intervento del 112,2023,50
italia,non indicato,italia,richiesto intervento del 112,2024,76
italia,non indicato,italia,richiesto intervento del 113,2023,54
italia,non indicato,italia,richiesto intervento del 113,2024,78
italia,non indicato,non indicato,trasferito servizio,2015,1
